person,personLabel,university,universityLabel,birthplaceLabel,country,countryLabel,organisationLabel,yearfoundedLabel
http://www.wikidata.org/entity/Q3888215,Hannes Sköld,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Västerlövsta church parish,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4950540,Eva Gothlin,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Norrköping,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q522657,Christina Olofson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Kristinehamn,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q3352161,Agneta Pleijel,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4887775,Bengt-Åke Lundvall,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Sweden,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q315107,José González,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q919874,Carl Henrik Fredriksson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Jönköping,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q3030676,Percy Barnevik,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Simrishamn,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4935892,Marianne Andersson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Vårgårda,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1747619,Emma Wertsén,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Sweden,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q444747,Maria Wetterstrand,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Eskilstuna,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4984932,Linda Västrik,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4969673,Lena B. Nilsson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Dals-Ed Municipality,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q111182,Hinrich Bitter-Suermann,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Berlin,http://www.wikidata.org/entity/Q16,Canada,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q315107,José González,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q414,Argentina,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1662985,Ingemar Düring,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4990683,Agnes Wold,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Uppsala,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q887439,Bo Ralph,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4887775,Bengt-Åke Lundvall,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Sweden,http://www.wikidata.org/entity/Q35,Denmark,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q964028,Håkan Hellström,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4960259,Gunhild Kyle,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Haga parish,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4981529,Malin Svensson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Q10509040,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q269859,Åsa Westlund,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gislaved,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q446732,Otto J. Maenchen-Helfen,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Vienna,http://www.wikidata.org/entity/Q30,United States of America,Gothenburg Municipality,1954-07-01T00:00:00Z
